Gender,X,Y,Z,Output
m,41,35,56,0
m,41,35,15,0
m,40,34,56,0
m,38,32,54,0
m,38,34,51,0
m,37,37,48,0
m,39,33,45,0
m,39,36,43,0
m,39,45,42,0
m,40,43,42,0
m,43,42,40,0
m,37,45,41,0
m,38,45,40,0
m,36,45,36,0
m,26,44,36,0
m,27,50,37,0
m,26,45,37,0
m,23,46,35,0
m,14,52,40,0
m,17,48,42,0
m,14,44,42,0
m,9,42,38,0
m,5,41,39,0
m,1,42,40,0
m,2,41,40,0
m,2,44,38,0
m,6,43,41,0
m,10,40,39,0
m,11,41,37,0
m,11,40,37,0
m,11,40,35,0
m,13,39,36,0
m,14,38,36,0
m,13,39,36,0
m,13,39,35,0
m,13,38,36,0
m,12,38,35,0
m,10,37,35,0
m,13,38,34,0
m,12,37,35,0
m,14,37,35,0
m,14,37,34,0
m,14,39,35,0
m,14,37,35,0
m,13,38,35,0
m,14,38,35,0
m,13,37,35,0
m,13,37,36,0
m,11,36,36,0
m,14,39,35,0
m,14,39,35,0
m,13,39,36,0
m,13,38,36,0
m,12,39,35,0
m,14,39,35,0
m,13,38,34,0
m,14,37,36,0
m,13,39,35,0
m,12,39,36,0
m,12,39,36,0
m,13,39,35,0
m,13,38,35,0
m,13,38,34,0
m,13,38,35,0
m,13,38,35,0
m,12,38,35,0
m,12,37,35,0
m,14,38,34,0
m,12,38,36,0
m,13,38,35,0
m,13,37,35,0
m,12,37,35,0
m,12,37,35,0
m,11,38,35,0
m,12,38,35,0
m,13,38,36,0
m,12,37,36,0
m,12,38,35,0
m,12,38,35,0
m,13,38,35,0
m,13,38,34,0
m,12,38,35,0
m,13,37,35,0
m,13,37,35,0
m,13,38,36,0
m,13,38,35,0
m,14,38,36,0
m,14,38,36,0
m,13,38,35,0
m,13,38,34,0
m,12,38,34,0
m,12,38,36,0
m,12,37,35,0
m,13,37,36,0
m,12,37,36,0
m,12,37,34,0
m,15,37,35,0
m,12,38,35,0
m,11,37,36,0
m,12,38,35,0
m,13,38,35,0
m,13,38,35,0
m,14,39,34,0
m,13,38,34,0
m,14,39,34,0
m,12,41,35,0
m,11,42,37,0
m,11,40,37,0
m,12,41,37,0
m,13,41,38,0
m,14,42,39,0
m,14,41,40,0
m,15,41,40,0
m,14,41,40,0
m,15,41,40,0
m,15,41,40,0
m,13,40,40,0
m,14,41,39,0
m,14,39,39,0
m,14,38,39,0
m,14,39,40,0
m,13,38,38,0
m,13,39,36,0
m,11,39,34,0
m,10,38,35,0
m,12,38,36,0
m,16,38,35,0
m,16,37,34,0
m,14,37,35,0
m,11,37,35,0
m,12,37,34,0
m,13,36,32,0
m,13,38,32,0
m,13,38,33,0
m,13,39,33,0
m,12,40,33,0
m,12,40,33,0
m,13,39,34,0
m,13,39,35,0
m,9,39,34,0
m,5,42,33,0
m,6,42,33,0
m,11,42,34,0
m,8,41,34,0
m,5,40,34,0
m,9,39,37,0
m,12,42,38,0
m,9,40,38,0
m,9,38,36,0
m,12,35,37,0
m,15,35,36,0
m,16,35,36,0
m,14,38,36,0
m,14,37,35,0
m,15,38,35,0
m,15,37,35,0
m,17,38,35,0
m,16,39,35,0
m,13,38,35,0
m,12,36,35,0
m,9,37,33,0
m,6,37,35,0
m,12,38,36,0
m,11,38,35,0
m,8,38,33,0
m,8,37,33,0
m,10,36,34,0
m,14,36,35,0
m,16,36,36,0
m,15,38,36,0
m,14,39,35,0
m,14,38,35,0
m,13,38,35,0
m,12,39,35,0
m,11,38,35,0
m,9,39,35,0
m,7,39,36,0
m,3,39,36,0
m,2,39,37,0
m,12,38,37,0
m,12,37,37,0
m,13,37,38,0
m,11,36,37,0
m,11,36,37,0
m,11,35,37,0
m,14,35,36,0
m,15,36,36,0
m,15,36,35,0
m,16,36,36,0
m,16,36,35,0
m,15,35,35,0
m,13,35,34,0
m,13,36,34,0
m,13,36,35,0
m,7,36,34,0
m,9,38,35,0
m,8,37,33,0
m,7,37,34,0
m,9,36,32,0
m,10,37,34,0
m,13,37,35,0
m,13,39,36,0
m,14,38,35,0
m,15,37,35,0
m,13,37,36,0
m,13,38,36,0
m,11,37,34,0
m,9,38,33,0
m,8,38,32,0
m,10,39,34,0
m,6,39,35,0
m,5,37,33,0
m,13,38,36,0
m,13,38,37,0
m,13,40,38,0
m,13,37,38,0
m,12,37,37,0
m,13,35,38,0
m,11,34,37,0
m,12,35,37,0
m,12,35,38,0
m,15,36,37,0
m,17,36,37,0
m,16,37,37,0
m,15,37,37,0
m,13,36,36,0
m,12,37,35,0
m,12,37,34,0
m,8,39,34,0
m,10,39,36,0
m,11,39,34,0
m,10,39,34,0
m,10,39,33,0
m,12,36,34,0
m,16,37,36,0
m,16,38,34,0
m,14,37,35,0
m,14,39,34,0
m,12,37,34,0
m,10,40,36,0
m,11,36,37,0
m,9,37,37,0
m,7,39,35,0
m,6,38,35,0
m,4,38,36,0
m,7,38,35,0
m,13,39,36,0
m,15,41,40,0
m,15,39,39,0
m,16,37,39,0
m,16,36,39,0
m,15,36,38,0
m,13,36,38,0
m,13,36,37,0
m,11,37,38,0
m,10,37,38,0
m,12,38,37,0
m,10,39,38,0
m,8,40,37,0
m,10,38,36,0
m,6,39,37,0
m,7,40,37,0
m,13,38,37,0
m,14,38,35,0
m,15,38,35,0
m,16,37,35,0
m,16,36,34,0
m,19,37,35,0
m,18,38,33,0
m,18,38,34,0
m,17,38,34,0
m,16,38,35,0
m,13,38,35,0
m,11,40,36,0
m,10,41,35,0
m,6,39,35,0
m,3,39,36,0
m,0,40,38,0
m,4,41,37,0
m,11,40,41,0
m,12,40,41,0
m,12,40,37,0
m,14,39,37,0
m,17,38,37,0
m,17,38,36,0
m,17,38,37,0
m,16,39,37,0
m,16,38,37,0
m,14,37,36,0
m,13,38,37,0
m,8,40,38,0
m,9,40,37,0
m,5,41,37,0
m,3,39,37,0
m,2,41,37,0
m,9,40,36,0
m,11,39,35,0
m,11,38,33,0
m,12,37,34,0
m,16,36,33,0
m,18,37,33,0
m,20,35,33,0
m,20,36,33,0
m,19,37,33,0
m,18,37,33,0
m,18,36,34,0
m,15,37,34,0
m,13,38,35,0
m,11,38,34,0
m,6,38,34,0
m,0,39,35,0
m,2,40,37,0
m,7,41,40,0
m,10,39,41,0
m,13,39,38,0
m,15,39,37,0
m,15,38,37,0
m,18,40,37,0
m,20,37,36,0
m,18,39,36,0
m,18,39,37,0
m,15,39,36,0
m,12,40,37,0
m,11,37,37,0
m,7,37,38,0
m,4,37,36,0
m,0,40,37,0
m,3,39,38,0
m,5,37,36,0
m,7,37,34,0
m,9,37,34,0
m,9,36,35,0
m,11,37,34,0
m,13,38,33,0
m,15,36,32,0
m,18,33,31,0
m,19,32,32,0
m,20,32,31,0
m,19,35,31,0
m,19,36,33,0
m,15,36,33,0
m,12,37,32,0
m,9,36,33,0
m,1,38,33,0
m,3,38,34,0
m,6,39,38,0
m,8,39,39,0
m,8,39,36,0
m,11,37,34,0
m,14,36,36,0
m,17,37,35,0
m,19,38,36,0
m,17,40,36,0
m,16,38,36,0
